Country,GDP,Population,Life_Expectancy,Literacy_Rate,Unemployment_Rate,Inflation,Exports,Imports
Country A,37454.01188473625,74394816.11397879,82.18831182799578,85.74658420677519,6.622531599464186,8.830578755239472,20955390.50588974,42843885.16551548
Country B,49100.11520426116,22504630.92165761,65.00208648241377,96.1877055438011,6.04530767791842,4.85355384342314,15154020.58204857,14532192.53536635
Country C,20779.091469804385,42831377.83810518,60.472273548664276,78.17038343501804,5.025844051059726,3.592123267296071,3887995.444147613,30629038.48687043
Country D,41800.479117044544,6862295.58268404,75.59814893763064,83.78245777497893,11.052424271268217,6.666728025652731,18933993.32299352,28292270.22380389
Country E,22636.344277451446,94424886.57954088,80.05809386546455,84.7275868903691,13.154058663384304,-0.6889955203968054,49750778.84901511,42866489.3146607
Country F,31443.77843056499,7195040.62086086,68.80534453096444,92.5442198576116,5.868878869359456,9.741609338814042,40534304.28523201,14617213.49036968
Country G,37953.67272466531,32230462.50771928,72.26371001575737,98.76503758514077,9.9897393913458,2.185584576383233,45042477.68812155,3833232.038047909
Country H,38823.832174937095,28501796.64560378,84.16426452615762,70.53026543750533,7.419331163616148,7.6798447928825475,45443237.93961677,38063798.19192447
Country I,30691.80865861265,67158035.41318786,54.43677879529274,94.92087437364169,11.245082723130864,9.979748079576736,34911939.09915796,22349690.29128034
Country J,46996.35464434741,53653956.39971743,64.72744203417948,86.2636591550984,8.098080371176072,5.59832092609039,,48036548.70064326