Product,Price,Rating,BatteryLife,Weight,ScreenSize,Storage,RAM,ProcessorSpeed
Laptop A,1200,4.5,8,1.5,15.6,512,16,2.6
Smartphone B,800,4.7,10,0.2,6.1,256,8,2.8
Tablet C,500,4.2,12,0.5,10.2,128,4,2.0
Smartwatch D,300,4.8,18,0.1,1.4,32,1,1.1
Laptop E,1500,4.9,6,2.0,17.3,1024,32,3.0
Smartphone F,900,4.6,15,0.25,6.7,512,12,3.2
Tablet G,600,4.3,,0.6,11,256,8,2.4
Smartwatch H,250,4.5,24,0.09,1.2,16,0.5,1.0
Laptop I,1000,4.4,7,1.8,14,256,8,2.2
Smartphone J,700,4.1,20,0.18,6.4,128,6,2.5
Tablet K,400,3.9,8,0.4,9.7,64,4,1.8
Smartwatch L,200,4.0,30,0.08,1.1,8,0.25,0.8
Laptop M,800,4.2,5,1.6,13.3,128,4,1.9
Smartphone N,600,4.3,25,0.22,6.2,256,8,2.6
Tablet O,550,4.4,14,0.55,10.5,128,6,2.1
Smartwatch P,150,3.8,40,0.07,1.0,4,0.2,0.6